text,url,table_index,link_type
"Benson & Hedges World Series (Australia, Pakistan, West Indies in Australia), 1992/93",https://www.espncricinfo.com/series/benson-hedges-world-series-1992-93-60930/match-schedule-fixtures-and-results,1,series
"Wills Trophy (Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates), 1992/93",https://www.espncricinfo.com/series/wills-trophy-1992-93-60935/match-schedule-fixtures-and-results,1,series
"Total International Series (Pakistan, South Africa, West Indies in South Africa), 1992/93",https://www.espncricinfo.com/series/total-international-series-1992-93-60936/match-schedule-fixtures-and-results,1,series
"Pakistan in Zimbabwe ODI Match, 1992/93",https://www.espncricinfo.com/series/pakistan-in-zimbabwe-odi-match-1992-93-60937/match-schedule-fixtures-and-results,1,series
"England in India ODI Series, 1992/93",https://www.espncricinfo.com/series/england-in-india-odi-series-1992-93-60934/match-schedule-fixtures-and-results,1,series
"England in Sri Lanka ODI Series, 1992/93",https://www.espncricinfo.com/series/england-in-sri-lanka-odi-series-1992-93-60938/match-schedule-fixtures-and-results,1,series
"Zimbabwe in India ODI Series, 1992/93",https://www.espncricinfo.com/series/zimbabwe-in-india-odi-series-1992-93-60940/match-schedule-fixtures-and-results,1,series
"Australia in New Zealand ODI Series, 1992/93",https://www.espncricinfo.com/series/australia-in-new-zealand-odi-series-1992-93-60939/match-schedule-fixtures-and-results,1,series
"Pakistan in West Indies ODI Series, 1992/93",https://www.espncricinfo.com/series/pakistan-in-west-indies-odi-series-1992-93-60941/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (Australia in England), 1993",https://www.espncricinfo.com/series/texaco-trophy-1993-60942/match-schedule-fixtures-and-results,1,series
"India in Sri Lanka ODI Series, 1993",https://www.espncricinfo.com/series/india-in-sri-lanka-odi-series-1993-60943/match-schedule-fixtures-and-results,1,series
"South Africa in Sri Lanka ODI Series, 1993",https://www.espncricinfo.com/series/south-africa-in-sri-lanka-odi-series-1993-60944/match-schedule-fixtures-and-results,1,series
"Pepsi Champions Trophy (Pakistan, Sri Lanka, West Indies in United Arab Emirates), 1993/94",https://www.espncricinfo.com/series/pepsi-champions-trophy-1993-94-60945/match-schedule-fixtures-and-results,1,series
"C.A.B. Jubilee Tournament (Hero Cup) (India, South Africa, Sri Lanka, West Indies, Zimbabwe in India), 1993/94",https://www.espncricinfo.com/series/c-a-b-jubilee-tournament-hero-cup-1993-94-60946/match-schedule-fixtures-and-results,1,series
"West Indies in Sri Lanka ODI Series, 1993/94",https://www.espncricinfo.com/series/west-indies-in-sri-lanka-odi-series-1993-94-60947/match-schedule-fixtures-and-results,1,series
"Zimbabwe in Pakistan ODI Series, 1993/94",https://www.espncricinfo.com/series/zimbabwe-in-pakistan-odi-series-1993-94-60949/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series (Australia, New Zealand, South Africa in Australia), 1993/94",https://www.espncricinfo.com/series/benson-hedges-world-series-1993-94-60948/match-schedule-fixtures-and-results,1,series
"Sri Lanka in India ODI Series, 1993/94",https://www.espncricinfo.com/series/sri-lanka-in-india-odi-series-1993-94-60950/match-schedule-fixtures-and-results,1,series
"England in West Indies ODI Series, 1993/94",https://www.espncricinfo.com/series/england-in-west-indies-odi-series-1993-94-60951/match-schedule-fixtures-and-results,1,series
"Pakistan in New Zealand ODI Series, 1993/94",https://www.espncricinfo.com/series/pakistan-in-new-zealand-odi-series-1993-94-60953/match-schedule-fixtures-and-results,1,series
"India in New Zealand ODI Series, 1993/94",https://www.espncricinfo.com/series/india-in-new-zealand-odi-series-1993-94-60954/match-schedule-fixtures-and-results,1,series
